Sample.ID,Sample.ID2,Size,Diet,Diet.1,Genus,Species,Genus.modif,Species.modif,Taxon1,Taxon,Body.mass.mean,Museum.ID.2,Site.Name,Latitude,Longitude ,Cluster,Cluster.2,Level.Age,age estimate,Note.age,Age.Category,Extinction level,Survivor,Trophic level,Tray,Tray.ID,Weight,d15N,d13C,d13C.enamel,d180.enamel-VSMOW,d.180.enamelVPDB,X.N,X.C,C.N,c.N2,commnets,analyzed.at.UNM.publication,Amino Acid 
SMP-60608,SMP-60608,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,SMP,Moore.Pit,32.733333,-96.733333,Cluster 2,Cluster 1,,30000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-10.19,-3.39,26.24,-4.48,,,0,0,,Koch.2004,
TMM-40806-496,40806-496,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,TMM,Bonfire Shelter,29.82,-101.55,Cluster 6,Cluster 4,,10100,,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-6.06,0.74,26.26,-4.46,,,0,0,,Koch.2004,
BDM-9816a,BDM-9816a,Large,Herbivore,Grazer,Bison,bison,Bison,bison,Bison,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-8.1,-1.3,26.4,-4.33,,,0,0,,Koch.2004,
40450-1619,40450-1619,Large,Herbivore,,Bison,sp.,Bison,sp.,Bison,Bison,579255,TMM,Cave Without A Name,29.88,-98.62,Cluster 5,Cluster 4,Late Pleistocene,,,Pleistocene,Pre-Extinction,Survivor,,,,,,-6.2,,26.46,-4.271211998,,,,,,x,
SMP-61893,SMP-61893,Large,Herbivore,Grazer,Bison,bison,Bison,bison,Bison,Bison,579255,SMP,Keller Springs,32.966667,-96.8,Cluster 2,Cluster 1,,,,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-6.64,0.16,26.7,-4.04,,,0,0,,Koch.2004,
TMM-30907-79,30907-79,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Leo.Boatright.Pit,32.12,-96,Cluster 2,Cluster 1,,30000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-13.81,-7.01,26.73,-4.01,,,0,0,,Koch.2004,
TMM-30967-1051A,30967-1051A,Large,Herbivore,Grazer,Equus,fraternus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.14,-3.34,26.75,-3.99,,,0,0,,Koch.2004,
BDM-naa,BDM-naa,Large,Herbivore,Grazer,Bison,bison,Bison,bison,Bison,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-6.5,0.3,26.8,-3.94,,,0,0,,Koch.2004,
30967-051,30967-051,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,fragment,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-9.9,-3.1,26.9,-3.841,,,0,0,,Yann et al 2016,
30967-223,30967-223,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,rp,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.4,-0.6,26.9,-3.841,,,0,0,,Yann et al 2016,
TMM-30967-2223,30967-2223,Large,Herbivore,Grazer,Equus,fraternus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.41,-0.61,26.92,-3.82,,,0,0,,Koch.2004,
TMM-30967-1051B,30967-1051B,Large,Herbivore,Grazer,Equus,fraternus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-9.56,-2.76,26.97,-3.77,,,0,0,,Koch.2004,
MSU-2036,MSU-2036,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,MSU,Quitaque Creek,34.25,-100.5,Cluster 4,Cluster 3,,40000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.17,-1.37,27.05,-3.7,,,0,0,,Koch.2004,
30967-1181,30967-1181,Large,Herbivore,Grazer,Palaeolama,,Palaeolama,mirifica,Palaeolama,Palaeolama,223000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-18.86,-12.06,27.06,-3.686242555,,,0,0,,Uark,
933-3956,933-3956,Large,Carnivore,,Smilodon ,floridanus,Smilodon ,fatalis,Smilodon,Smilodon,400000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,From Toomey: 21ka,Pleistocene,Pre-Extinction,Extinct,,,,,,-14.3,-10,27.09,-3.656319035,,,,,,x,
SMP-61236,SMP-61236,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,SMP,Ben Franklin,33.37,-95.75,Cluster 2,Cluster 1,,10317.5,used mid-point age,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.31,-3.51,27.11,-3.64,,,0,0,,Koch.2004,
30967-2239,30967-2239,Large,Herbivore,Grazer,Camelops,,Camelops,hesternus,Camelops,Camelops,1100000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,Late Pleistocene,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-16.91,-10.11,27.17,-3.579535533,,,0,0,,Uark,
SMP-60670,SMP-60670,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,SMP,Clear Creek,33.25,-97,Cluster 2,Cluster 1,,28840,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-9.2,-2.4,27.18,-3.57,,,0,0,,Koch.2004,
BDM-naa,BDM-naa,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-5,1.8,27.3,-3.45,,,0,0,,Koch.2004,
43407-31,43407-31,Large,Carnivore,NA,Panthera ,onca,Panthera ,onca,Panthera,Panthera onca,100000,TMM,Honey Creek Cave,,,,,Bone yard passage,,,,,Survivor,,,,,,-16.34356008,-12.04356008,27.32992248,-3.42440052,,,0,0,,Uark,
30967-1128,30967-1128,Large,Herbivore,Grazer,Bison,cf. antiguus,Bison,antiguus,Bison antiguus,Bison antiguus,579255,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,Pit 1,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.96589655,-2.16589655,27.40352016,-3.353006073,,,0,0,,Uark,
30967-1540,30967-1540,Large,Herbivore,Grazer,Equus,sp2 (Felisa),Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,Late Pleistocene,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.18,-3.38,27.52,-3.240013193,,,0,0,,Uark,
30967-226,30967-226,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,fragment,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.6,-0.8,27.6,-3.162,,,0,0,,Yann et al 2016,
SMP-70161,SMP-70161,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,SMP,Moore.Pit,32.733333,-96.733333,Cluster 2,Cluster 1,,30000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.18,-3.38,27.6,-3.16,,,0,0,,Koch.2004,
BDM-naa,BDM-naa,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.6,-0.8,27.6,-3.16,,,0,0,,Koch.2004,
30967-1240,30967-1240,Large,Herbivore,Grazer,Camelops,,Camelops,hesternus,Camelops,Camelops,1100000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,Late Pleistocene (Pit #1),50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-18.18,-11.38,27.62,-3.14300681,,,0,0,,Uark,
TMM-30967-2226,30967-2226,Large,Herbivore,Grazer,Equus,pacificus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.64,-0.84,27.62,-3.14,,,0,0,,Koch.2004,
MSU-2819,MSU-2819,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Quitaque Creek,34.25,-100.5,Cluster 4,Cluster 3,,40000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-9.32,-2.52,27.7,-3.07,,,0,0,,Koch.2004,
SMP-60827,SMP-60827,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,SMP,Clear Creek,33.25,-97,Cluster 2,Cluster 1,,28840,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-13.89,-7.09,27.79,-2.98,,,0,0,,Koch.2004,
933-2201,933-2201,Large,Carnivore,,Canis,dirus,Canis,dirus,Canis dirus,Canis dirus,65000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,From Toomey: 21ka,Pleistocene,,,,,,,,-10.65,-6.35,27.8,-2.971556332,,,,,,x,
SMP-60670,SMP-60670,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,SMP,Clear Creek,33.25,-97,Cluster 2,Cluster 1,,28840,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.92,-1.12,27.81,-2.96,,,0,0,,Koch.2004,
TMM-43067-62,43067-62,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Congress Avenue,30.25,-97.75,Cluster 1,Cluster 4,,17220,used mid-point age,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.68,-3.88,27.83,-2.94,,,0,0,,Koch.2004,
TMM-937-818,937-818,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.72,-0.92,27.83,-2.94,,,0,0,,Koch.2004,
TMM-937-254,937-254,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-11.94,-5.14,27.9,-2.87,,,0,0,,Koch.2004,
SMP-60178,SMP-60178,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,SMP,Moore.Pit,32.733333,-96.733333,Cluster 2,Cluster 1,,30000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-8.86,-2.06,27.93,-2.84,,,0,0,,Koch.2004,
908-2380,908-2380,Large,Herbivore,,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 3, Square B-C, 2-3",13000,,Pleistocene,Pre-Extinction,Extinct,,,,,,-13.63,-6.83,27.95,-2.822788739,,,,,,x,
TMM-31030-2B,31030-2B,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,TMM,Valley Farms,32.25,-96.25,Cluster 2,Cluster 1,,30000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-8.13,-1.33,27.96,-2.81,,,0,0,,Koch.2004,
MSU-3016,MSU-3016,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,MSU,Howard Ranch,34.37,-99.75,Cluster 4,Cluster 3,,16775,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-9.91,-3.11,27.98,-2.79,,,0,0,,Koch.2004,
TMM-30967-376B,30967-376B,Large,Herbivore,Grazer,Equus,pacificus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.49,-0.69,27.98,-2.79,,,0,0,,Koch.2004,
SMNH-WACO-K,SMNH-WACO-K,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,SMNH,Waco Mammoth Site,31.6,-97.183333,Cluster 1,Cluster 1,,28000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-9.47,-2.67,27.98,-2.79,,,0,0,,Koch.2004,
BDM-naa,BDM-naa,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-8.1,-1.3,28,-2.77,,,0,0,,Koch.2004,
30967-787,30967-787,Large,Herbivore,Grazer,Mammuthus,columbi,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,rm3,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.9,-1.1,28,-2.774,,,0,0,,Yann et al 2016,
TMM-40450-585,40450-585,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,TMM,Cave Without A Name,29.88,-98.62,Cluster 5,Cluster 4,,13000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-10.61,-3.81,28.02,-2.75,,,0,0,,Koch.2004,
TMM-30967-1787,30967-1787,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.9,-1.1,28.03,-2.75,,,0,0,,Koch.2004,
TMM-31030-8,31030-8,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Valley Farms,32.25,-96.25,Cluster 2,Cluster 1,,30000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-9.9,-3.1,28.04,-2.74,,,0,0,,Koch.2004,
933-3675,933-3675,Large,Herbivore,,Odocoileus,sp.,Odocoileus,sp.,Odocoileus,Odocoileus,55509,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,From Toomey: 21ka,Pleistocene,Pre-Extinction,Survivor,,,,,,-18.53,-11.73,28.07,-2.706012068,,,,,,x,
BDM-naa,BDM-naa,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,BDM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,9000,rough estimate based on the fact that it is Holocene,Holocene,Post-Extinction,Survivor,Post extinction herb,,,,,-7.6,-0.8,28.1,-2.68,,,0,0,,Koch.2004,
TMM-937-907,937-907,Large,Herbivore,Grazer,Bison,sp.,Bison,sp.,Bison,Bison,579255,TMM,Blackwater Draw,34.23,-103.42,Cluster 4,Cluster 3,,15000,really rough estimate estimate since it is reported to be Post-LGM,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-5.4,1.4,28.14,-2.64,,,0,0,,Koch.2004,
TMM-933-1309,933-1309,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-8.5,-1.7,28.14,-2.64,,,0,0,,Koch.2004,
30967-393,30967-393,Large,Herbivore,Browser,Odocoileus,virginianus,Odocoileus,sp.,Odocoileus,Odocoileus,55509,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Survivor,Pre extinction herb,,,,,-17.6,-10.8,28.2,-2.58,,,0,0,,Yann et al 2016,
SMP-62357,SMP-62357,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,SMP,Moore.Pit,32.733333,-96.733333,Cluster 2,Cluster 1,,30000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-9.5,-2.7,28.22,-2.56,,,0,0,,Koch.2004,
36967-2223,36967-2223,Large,Herbivore,,Equus,fraternus,Equus,fraternus,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,RM2,50000,,Pleistocene,Pre-Extinction,Extinct,,,,,,-8.46,-1.66,28.25,-2.531533981,,,,,,x,
TMM-30967-948,30967-948,Large,Herbivore,Grazer,Equus,complicatus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-9.52,-2.72,28.27,-2.51,,,0,0,,Koch.2004,
TMM-31030-27,31030-27,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Valley Farms,32.25,-96.25,Cluster 2,Cluster 1,,30000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-12.66,-5.86,28.28,-2.5,,,0,0,,Koch.2004,
TMM-30967-974,30967-974,Large,Herbivore,Grazer,Equus,fraternus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.78,-3.98,28.28,-2.5,,,0,0,,Koch.2004,
MSU-1984,MSU-1984,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,MSU,Easely.Ranch,33.98,-99.85,Cluster 4,Cluster 3,,30000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.86,-4.06,28.29,-2.49,,,0,0,,Koch.2004,
908-2422,908-2422,Large,Herbivore,Grazer,Equus,,Equus,sp.,Equus,Equus,400000,TMM,Kincaid Shelter,29.37,-99.47,Cluster 5,Cluster 4,"Zone 3, Square A-G, 1-2",13000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-11.44,-4.64,28.32,-2.463962129,,,0,0,,Uark,
TMM-933-209B,933-209B,Large,Herbivore,Grazer,Equus,sp.,Equus,sp.,Equus,Equus,400000,TMM,Friesenhahn Cave,29.62,-98.37,Cluster 5,Cluster 4,,18500,used mid-point age,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.89,-4.09,28.32,-2.46,,,0,0,,Koch.2004,
SMP-60844,SMP-60844,Large,Herbivore,Grazer,Mammuthus,sp.,Mammuthus,sp.,Mammuthus,Mammuthus,10800000,SMP,Moore.Pit,32.733333,-96.733333,Cluster 2,Cluster 1,,30000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-10.02,-3.22,28.33,-2.45,,,0,0,,Koch.2004,
TMM-30967-379,30967-379,Large,Herbivore,Grazer,Equus,complicatus,Equus,sp.,Equus,Equus,400000,TMM,Ingleside,27.87,-97.2,Cluster 3,Cluster 2,,50000,,Pleistocene,Pre-Extinction,Extinct,Pre extinction herb,,,,,-7.8,-1,28.36,-2.43,,,0,0,,Koch.2004,
